iter	Passed	Remaining
0	0	84
1	1	78
2	2	76
3	2	70
4	3	69
5	4	68
6	5	67
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	61
14	10	60
15	11	60
16	12	60
17	13	59
18	13	59
19	14	58
20	15	58
21	16	57
22	17	56
23	17	56
24	18	55
25	19	54
26	20	54
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	28	49
36	28	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	43	35
55	43	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	58	19
75	60	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	78	0
